%
% Comments go after a '%' sign.
%
%
% Relation: todefine
%
%
% Attributes: 2     Instances: 10000
%
%

@relation todefine

@attribute 'dataset' String
@attribute ' labels' {1, -1}

@data
'crappy worst worst entertaining dead stupid goofy kids younger school project worst',-1
'wealthy poor strict sugary most sappy librarian snobbish social filthy devout catholic',-1
'many bad angrier angrier enjoyable customary gratuitious mind blowing enough distract',-1
'few worse similar original new great sebastian funny original happy awful little ear bleeding first great magical bad many angry true earlier right better original little older bad young young likely primary worse good more other bad sorry bad worst awful original beautiful good original beautiful magical beautiful underwater unbearable first high much razzie worst musical several first same great older deep beautiful disappointed first bad different mature special sixteen first little useful',-1
'artistic original courageous insert creepy dramatic sappy dull original strive cleanest good looking good scary second afraid nap key jarring best special least big hard scary aware complete',-1
'mild feel good good personal new style bad mixed good wrong first bad better same worst',-1
'central enough entire silly comic elongated married hard white homosexual enough limp wristed early good',-1
'better worst professional believable other miscast particular awful fine inconsistent unbelievable much better good actual ludicrous african desirable pale skinned desirable dyed appropriate large diverse weird great re made appropriate skilled good appropriate good decent',-1
'worst bad laugh this amateurish childish bad worse pathetic unfunny funny few little few long',-1
'such awful pretty clean awful such poor embarrassed many bad few clean pretty clean',-1
'potential classic seven original not boris only challenging near total dull few individual interesting such attractive semi attractive various watchable most spent fair several native widespread',-1
'good poor good crumby good own others this worthy more more minimum ten other mindless',-1
'original scary unnecessary special original scary weird old worse special wooden ridiculous stupid spectacular scary original',-1
'more elaborate shot direct  blair professional cheesy other worth bad',-1
'american worst american stupid title american different different more many more other american i nice original',-1
'good better great short old useless other needless bizarre excellent hard wonderful good musical choppy stiff horrid cheap overall terrible painful legendary last awful much semi moronic decent classic fine',-1
'bad racist sexist homophobic chic sophisticated atrocious boring clear offensive gross best russian much likeable good looking more gay earlier gay',-1
'flick gangsta more few interesting first not i worth monthly rental local lotta good',-1
'worst long total real main guy black different same total',-1
'nice positive single real own abundant powerful bad easy difficult self indulging superficial bad',-1
'animated batman little excited disappointed original long humble best worst creative interesting short more',-1
'episodic bad due predictable bad main fast exciting better tired impotent',-1
'other celluloid certain own sexual little terrible poor offensive amateurish glad',-1
'concorde new bad bad many single main least due not so tiny ouch ok key single good last several magical similar fancy otherworldly hard several dumb strange front cinematic',-1
'musical best musical worst musical lifeless biggest right right musical next real limited least flashy other first tap lively complete evident lackadaisical capricious sympathetic true heretical beautiful smashing bad same next closest brilliant greater sad',-1
'pirate previous blank lit brief first doomed thankful same handsome pretty terrible possible much prolific available more well received british great',-1
'mad good amazing general similar most different intense horrible stupid angry important overall bad',-1
'mousy human main difficult unwatchable dull painful bad fair large ingenious cinematographic more appeal female worse interesting entire small possible dire perfect late',-1
'awful past few top alive sure lower shameful simple moronic new lead ultimate new lead awful atrocious classic predictable imaginable better original usual uncreative other lame lame lame predictable last great pathetic final dead',-1
'non establishment basic romantic excellent upon best utilizes available',-1
'famous lovely pregnant beautiful old double many different other such bad complacent laughable x rated intelligent amateurish naive ridiculous old acceptable small attractive scary serious funny such awful amateurish trash better due full unacceptable great such same applicable gorgeous fat total beautiful intriguing personal higher favorable strange normal such two title',-1
'fatal open secure medical unbelievable same bad bad editing very predictable sure good bored',-1
'full only weird such true other hard best easy able other worst other worst',-1
'awful self proclaimed ethnic thrilled good funny old predictable stale old curious funny young old white same same bad thank lame poor offencive offencive funny few',-1
'worst good wrong bad delta different bad old confused better dull many other',-1
'accurate theater definite other employee  whole unfortunate mercenary short',-1
'bad turkish super italian bad famous clear fat futuristic facial horrible third better',-1
'many atrocious loud same bad good worst decent non existent much pretty',-1
'bad eager good genius silly stupid good good terrific big named 10 20 worse first terrible predictable much original much acceptable realistic unrealistic dead much longer worst possible large other massive few first dumb founding ly stupid ridiculous stupid better versatile many more crappy generous',-1
'old adequate fun old avid fat wonderful apocalyptic fond infantile little short screen spoof serious second string fine only painful art nice',-1
'many bad lower least merit same least worthless reasonable junior high first referenced twenty six miscarriage just good good cover two final aforementioned bad funny comical humorous humorous',-1
'dissy first last high wurth',-1
'original flawed fun different shortest bad willing few first new kinda next first move next final least long awful first first same old middle original professional original extra special rid angry',-1
'subject only passionless real graphic many used therapy i sleepy eyed deconstructed deconstructed dead weirdo accident near secret deconstructed prospective deconstructed',-1
'better many enough worthless',-1
'pathetic much talented pathetic',-1
'ditzy closest original tall cleary old',-1
'nude exposed long funny funny full cold likeable cute unhappy fresh upper french',-1
'many old naive disappointed first incredible little incredible twenty five digital long lost incredible worst such def con incoherent crude same',-1
'free torpid best worst bad first want good secret grown up',-1
'arrogant irresponsible colombian cliched dumb colombian godawul naked pitiful right notable one dimensional cliched gratuitous art most lousy least previous good colombian mean intended',-1
'old genetic black suited ninja hard enjoyable ninja flick whole hollow predictable hard good different briefly dull surprising ninja flick fan esthetic hard enjoyable new visual similar calloused first hard clumsy visual great futile',-1
'danish worst possible bad bad funny bad bad bad positive potential other danish uden badest',-1
'hard to find original theatrical other italian best zombi bizarre infamous bad non existent green covert military inept idiotic stupid female dead poor cinematic upright hilarious green outside  hi jacked exposed timely cheap military unlucky infected little dinky slutty zombie same hilarious old other same original second hilarious same particular several stupid attack the third hilarious deserted many stupid infected other slow kung fu funniest infamous stupid girlfriend  headless biggest only other least  few next laughable pregnant  medical usual perfect megalomaniacal military pathetic obvious ie many laughable such entire climatic thirsty bad same same  asian like blue man the usual apocalyptic whole many minimal unconvincing unimaginative usual black thick green green zombi good sleep over other',-1
'best memorable dreadful good bad strong ritual more appropriate 30 ish smitten first high carnal',-1
'terrible visible pitiful',-1
'worst decent decent implausible bad worth contemporary massive better',-1
'british equal stereotypical british shallow racist  white',-1
'good worst good a weak weak big much attractive painful dull clich special minimal hard fair worse recommended valuable easy',-1
'cheap serial plain real ridiculous worst stupid such evil bad dive stupid super stupid lengthy free electric alive main endless cop nihilistic dead stupid child this few key hard good celluloid so such talented ridiculous free lucky german',-1
'horrible respectable young such atrocious bad new impeccable superb',-1
'only bad average middle school good good tom real picky best special fake',-1
'complete side splittingly incompetent such only more great tiny muscular various gymnastic shaped european infamous pommel various poor least least bad worse most poor martial',-1
'possible such intricate complex classical brilliant single despicable sweet kitschy story line cultural only redeeming exquisite leading',-1
'last free horrible acted horrible respectable wrong free innovative creative many',-1
'first flimsy funny second stiff funny third flimsy funny comic flawed repaired i other absolute more average much worst',-1
'bad bad bad   i mean bad accountable unmitigated unsuspecting public other 40 odd bad guilty writer director worst',-1
'giant awful cheap special high sketchy perfect  christian long  prayer anti biblical anguish christian bad xian good good believable less hysterical true excellent great intense hysterical laugh',-1
'original good beautiful better heavy unbearable sexual dumb other bad bad worth',-1
'crappy forgettable sean crappy solid worse third excellent minor atmosphere third highest poor screen',-1
'enough romantic wishi washi boring usual advanced disappointing it main important depressive long bad social big give important long normal human bad next depressive superhero colorful magic this cheap super small few worse common poor super worst ridiculous young possible next old full daily much routh bad little wooden whole wooden temporary good marsden spacey easy difference the ridiculous serious next human least possible real announced bizarre depressive greatest difficult new old new impressive more black little angry green',-1
'worst close bad single typical funny',-1
'ludicrous inept misguided such straight un shakespearean edwardian same uncut such textural ambiguous nude stained uncut favorite cinematic more apparent first nineteen least dramatic hungry great funniest tasteless last high magic super only off the wall serious star studded once talented own few unintended appalling',-1
'crappy scary good few first more predictable better so called',-1
'few classic best main entire forbidden political main proper political greatest terrible older old positive bad such wrong lead  brian',-1
'disappointing worse southern ridiculous elderly southern great previous best japanese stone faced anti these pro asian difficult such new red impressive short much better great anti american unhappiness living martha first first',-1
'many brazilian tropical lush ample little bad horrible unpleasant made so numerous smaller local promotional best brazilian bad better snappy imaginary avoids rounds festival s slum like nymph like teen aged shot hand held palpable domestic unbearably dead ended best certain potential born again christian shot ugly digital barren looking poor village like brazilian such wonderful little sluttish ready to revolt back few better good young busy much pores a worst cheap creative new first big domestic professional arbitrary least little positive best bad seedy devoid likable dark cynical telling human poor first abrupt implausible ironic married evil low level alive seen',-1
'boring worse useless last philosophical bad hollow good   nice hard good obvious poor worse spare good better nice',-1
'terrible other unfilmable much humorous new important tedious hilarious wrong painful mind numbing',-1
'bad original pretty plain spectacular different unforgiving hidden isolated more poor creepy good',-1
'first recognizable funny subjective bold great least good many funny real worst worse bad funny same bad bad',-1
'same jealous daughter kills people worth brief nude clad trite',-1
'quease inducing forty boring pretentious last french dismal least steady same next big average',-1
'real british terrorist dull awful such elderly senile',-1
'illogical much simple empty wonderful whole',-1
'worst worth unbelievable young torturous weakest more many soooooooo terrible rampant pretty sure slow old bad amazed',-1
'fine romantic melodramatic romantic melodramatic it the sure bad best good worse simple good romantic melodramatic bad more much curious disappointed 1 10 sweet little sweet whole',-1
'funny dramatic hard strong much racial directorial comic disastrous due serious poor funny decent wrong intelligent comic main wonderful first random sporadic obvious short smart smart many comedic underused unwatchable funny small central beautiful generic dull wrong worst entertaining pre in atrocious funny underused funny bright true obvious workable few final funny personal weak idiotic directorial fresh tight disappointing grade tough first silent first potential fuzzy inexperienced first deep own pivotal',-1
'stupid bad taste perfect full good correct obscene movie theater full pop corn',-1
'scarce imaginative short effective insufficient inadequate grave such particular special clownish due fatuous basic scientific frequent sealed wayward inanimate easier penal various few capable first timer such holographic basic',-1
'respectable young british filmic horrible hectic painful different spare less painful',-1
'serbian serbian   imdb com title tt0283181 the documentary extended mass bloodshed old entire first huge involved only real amazing later late recent detailed fulsome whole succinct appropriate eventual now named formal before not',-1
'poor terrible poor awful dreadful picture',-1
'sean only worthwhile good main little other classic boring great',-1
'modern mythic standard stupid remote bad bad bad bad bad bad worse',-1
'human store bought few bloodied enough same narcoleptic sit on the couch superhuman wrong special boring profound aformentioned deformed new few',-1
'psycho babble productive busy unproductive self absorbed single least strangle other due filmed entertaining possible unfilmable psychological histrionic buck dominant mystified looking intense whole over written over directed campy hysterical',-1
'first good quick good sister dead sister dead bad dead happy much better bad happy',-1
'big star cast big pathetic pathetic abrupt u mean first ignorant brilliant new other other human alright nice wasteful i',-1
'second ultra popular past cool japanese american special etc of many greatest incorrect i sure much better american awful better',-1
'funny slow simple true sympathy few non important surprising old high little brilliant original last',-1
'suspicious same overall few interesting early few incomprehensible reprehensible whole least important spinning pointless',-1
'young ten potent sleep lazy go nowhere actual actual good important film making crappy easy traditional general more indie interested subject better great short available long winded',-1
'funny cinematic bad doomed bravado besotted appropriate impressionable female emotional certain fiery romantic metaphysical same bizarre homo erotic top naked bare butted twilight zone esquire little celestial campy queen y bizarre such bad national racial convoluted universal little noble poor worse bad black white funny fellow fiery funniest female poor best early least lame overall bad funny best',-1
'more good old late due realistic thank utmost british awful wrong sums first common terrible riddled u s female military terrible afraid wrong free female fat underwear short overweight late great mouthed pi ass utter undisciplined magic military immense short amazing new mobile green dire top secret hyperactive fresh retrieval wrong soviet big military terminal right only repetitive naked female utterly old total useful',-1
'wrong real most more good',-1
'i little hot wow self i pee i bad bad bad bad bad political other ok controversial hard bad main painful local',-1
'unseen wish serious devoid horrid unpolished various difficult long good least entire higher',-1
'offended true curse other worst crappy funny sophomoric important copious illegal funny holy sanity  many things  stupid few main',-1
'good unknown first young supple improved next much lot the stupid senseless due unsuspecting first eighteen',-1
'many low worst main old more old better awful top i bad real rental free other i only important awful',-1
'big zombie bad angry poor responsible resemble human entire whole rubbish better pitiful worst worst positive neutral good terrible 0 10 generous',-1
'bad bad actual true vile little predictable',-1
'many below best terrible sexy boring simple crappy ingenious original overrated much',-1
'worst horrendous b movie more low shake your head disbelief difficult worth good early give jurassic familiar',-1
'finest underrated american child serial most psychotic killing best little great ridiculous necessary good tough experienced smart enough terrible true tv movie evident first elite other mouthy slow weak predictable atrocious the amateurish little true distinctive scary terrible much daughter the final swat good wrong entire impossible many close such open good other wild turkey last special pretty common terrible much great lost i give',-1
'last american awful',-1
'little such many favorite torture dean',-1
'difficult horrible heretical tall skinny skull like good lanky lackadaisical hard uncomfortable stereotypical gray matching black shiny new artificial traditional other painful full cadaverous bad upper crust british painful nasal british artificial british polite courteous better worst previous awful typical over acted other entire less exposition this awful obvious little fake minor bright interviewing conversational natural credible amateurish visual other suspicious modern',-1
'real smart good romantic dear long new teen important smash repulsive such next american filthy cum nasty smart real big shameless easy freely such oral urination   unnecessary necessary latest teen possible horrible romantic nastier easiest outrages for outrageousness naughty sad real potential stupid first main weirdo cool boy tacky dirty mawkish sorry good better smart real stupid smart final least witty american main usual year',-1
'many other good many good fatal sure talented greater low',-1
'last awful original last ludicrous bbc amazed good last next',-1
'cinematic much nonsensical inside out several simple fearful sure avant garde stupid unnecessarily huge possible old no talent amazing poor worst sweet old old intermittedly appropriate consistent',-1
'talented young reputable potential',-1
'upper middle next previous rid other polemic shameful overrated pretentious worst brazilian many tragic dark black bad funny stupid manipulative silly terrible many amateurish low awful many impossible realistic mediocre poor',-1
'unlikable lame elderly whatsoever many spot on actual bad bad awful scarier atrocious charismatic earthly much worse there eye',-1
'good bad modern whole great popularity good red clouded good red good stark naked horrible film making stay',-1
'mawkish manipulative many big public commercial tolerable fine mental little short offensive right terrible',-1
'slow express slow general impersonal alienating western such past interested single other chinese sorry sorry chinese',-1
'disgusting american late human live bad numerous most pretty accurate late',-1
'interesting animal optic other young young good first human wolf like more weird whole low stilted ridiculous inept long more dreamy eerie interspersed ideas the military wounded silly beautiful indian indian indian gruesome medicine ridiculous animal right stupid ridiculous military arrive open military open open military easier pointless enough whole rush unused better',-1
'wish negative i i worst god awful i bad worse horrible outside several only good exact',-1
'first dead worse other illogical only more evil first possible immense responsible considerable evil few good much',-1
'documentary gleeful informative prehistoric much other prehistoric interesting unique other good other good able interesting other possible terrible horrible few laughable giant ridiculous ridiculous horrible worst dynamic real emotional most engaged own personal good least good other same',-1
'painful ridiculous western painful best plus nice beautiful well spoken annoying enjoyable good terrible little western british always white insulting symbolic unrealistic predictable worst single handedly bad perfect bad main bad next believable bad',-1
'bad only context horrible save holey video',-1
'seagal great stupid biggest flawed much bad good direct straight much good special bad fake worst seagal',-1
'serial hot hot horrifying horrid good low budget horrible crappy special lame oh too my nude topless',-1
'opening generic conventional gorgeous similar such overwhelming high veteran clunky artificial little emotional true slow underwhelming overall cold pathetic sorry such incomprehensible situation the psychological commendable serious interesting unrealistic countless superior instant innocuous hard relative script the narrative slow running few apparent interesting acted underdeveloped main empty hard other young presumably reasonable relative conventional deep psychological single better deep emotional vacuous sub human',-1
'first big only has been only horrible double many many saddest already told funny better direct to video scraping the bottom of the barrel old old time video last',-1
'thirty american first many former original small other more fist pumping sluggish titular special serious undone better little original big massive little mediocre open air willing early covert hard violent covert american other possible political more sure american age old many american official inherent american vietnamese single only grail like invincible to honest well photographed well choreographed larger russian few dramatic lead introspective intelligent such creative vietnamese many russian spectacular ridiculous sure ridiculous bad ridiculous ridiculous funny military stupid only stupid political watchable',-1
'decrepit over saturated woeful inbred familiar new content thee old deformed peaceful gun toting rebellious good enough utter forgettable enough ironic indeed my',-1
'real long exited infamous disappointed wish more only good',-1
'disgraceful poor total themselves  usual nominated fair liable non stars bad last several more total non stars most audience the sad funny few extra controversial funny offensive innocuous clear short leash non entity even musical utter present own overlong overblown self congratulatory night ',-1
'much disappointing worst much wrong great particular curly brown most unbelievable brilliant such first high good teenage best fantastic',-1
'good low cost sole bad same good least poor good apparent like art good up   less bad',-1
'alcoholic serial own dull flat lethargic',-1
'first tall fault at second good good bad many good hard cool close frantic frantic best best slow happy thankful due less anywhothe re choreographed other bad good own lethargic unbelievable x wife funny few fun video b little library big big big cop real lame  on good overall  awful mexican sick powder large gene splice hybrid super insect powdered young excessive major careful',-1
'same god awful same poor bad original original much few different original shorter original original brave sacrilege',-1
'worst special uncontrollable unbelievable bad nappy hair unbelievable least dark penlight abominable possible social truly special',-1
'french bad wrong title little real awful pretentious offensive decent physical primary obvious aware various erotic more pretty young feigned sexual unremarkable generic interesting ok pretty ridiculous distorted lens appropriate costume near complete intelligent tasteful serious slow pretentious soft core french',-1
'awful czar while excellent comic co star real deplorable shocking the usual',-1
'weak toughest tough tough fake boring senseless bad homo erotic video box hot whole gang martial minimal best real weak new',-1
'due wrong enough bad bad potential potential potential second heavier tan in worse',-1
'better hopeful ok transparent weak ten whole good',-1
'fascinating tween bad more such cheap basic able',-1
'boring run of the mill married new innovative wrong most entertaining little clever other funny funny new',-1
'mere such common clear sound many average unique buddy black good much complete more bad more bad',-1
'feelgood new only late trash',-1
'only main only much root abyssmal bad worse further poor first',-1
'terrible long close only such terrible many high demand the beautiful many british american',-1
'high comic evident first light heavy had relative newcomer great flat wooden unfair dreary pointless it the horrible numbed final major',-1
'russian factual such impossible first first multiple v 2 a 4 different same serial russian ludicrous saboteur alcoholic awful frivolous russian',-1
'worst worst possible bad good bad enjoyable awful anti enantiodromia stunned poor worse animated worse worse worse ten',-1
'incredible more weak uninspiring weaker implausible many laughable good technical unoriginal flat overall awful wholesomeness religious unfortunate',-1
'awful glaring poorest made for tv glad free',-1
'worst original lowest low mad mad funny terrible na id mad',-1
'little many good main little concept  ridiculous cartoonish top whole stupider true dumb least suspicious nearby qualified grown i little dumb wayans white least few little',-1
'older such single sudden twenty something young close self absorbed coarse phony unconvincing young subject unlikable own kooky likable flexible flaky crazed many dead young nervous overage',-1
'loose unintelligible plot devices movie filming random called extra born i main horrible much little after side  i',-1
'lead popular finest dear wrong big low beautiful orchestra musical special bad bad violent fake shoddy overall final shoddy shoddy',-1
'original flat films biggest unwillingness moralistic epic horrible lovable innocent ungallant likely unwatchable disrespectful beautiful',-1
'hitchcockian out n out real big left about and alternative correct weak better innocent',-1
'horrible bad bad horrible role playing key have miserable',-1
'many good most least goofy forest remote large natural scientific sure whole full skeletal enormous disturb ancient burial first interchangeable few hiking hiking little actual boring the scared liberal fast other distinct shaggier bad obvious daylight sacrilegious single much worthwhile',-1
'real able original scant obvious professional martial good fair requisite comedic same few comic minor therein serious unintentional unbeknownst many direct to video first bad elaborate terrible welcome aforementioned direct to video whole new original minor new stronger damage resistant earlier early abstract more only automatic first short familiar second much ridiculous seth fear strong short adequate original thorough least original shot massive breath i bad completely unintentional',-1
'own personal single stupid first amazing few other acceptable final average much wrong comprehensive maximum allowed biggest wrong it the generic uninspired stupid interesting eighty biggest wrong acting while most talentless few big funny better most horrible great classic canadian unbearable unlikeable tropical slow painful next soft pointless offencive sexual drunk interesting twenty twenty other offensive huge dreaded last wet old overactive sexual telegraphed intelligent called repulsive sexual constant unnecessary deviant sexual first low more offensive',-1
'straight laced controlled complete predictable understandable beautiful impossible able',-1
'real good several capable real',-1
'nice other 4 year old imaginary animal greatest',-1
'distinct distinct skilled script writing jeremy most appalling self aware clumsy strong unwashed greasy dark husky tortured poet shirt manual defunct little plastic discontinued bargain bin stupid cute whole wooden stiff far notable best right more dismal two dimensional screen missing the faceless usual perky smitten local protective older much un fatherly old  distinct potential victim black fine noirish traditional dear fake intense last tense psychological palingenesis delusion madness simple new exciting only entire epic foreshortened poor strange whole funny previous trash  low express poor afraid real fantastical enjoyable',-1
'self indulgent flat deathless original similar more close wrong junior high more sure last remarkable more original judicious  judicious pointless original bad compelling worth bad',-1
'severed right own more accurate curious arthouse similar ve little unfair obscene third',-1
'brilliant first good young other pathetic much previous greatest',-1
'wooden generous frustrated back other extreme close big big bright hard horrendous erratic generous bad early good weird thankful next',-1
'big other own entertaining worst unoriginal thousand times made great worst speak everyday huge archive kinda chief terrorist only smart whole ridiculous whole few nearest least good funny martial single bad few nuclear few hundred nuke stupid web nuclear',-1
'more general general indian foul the english violent foul mouthed promiscuous stupid uneducated poor dim witted indian local indian beautiful many grammar school prejudicial other english indian few gossip undertext dirty promiscuous undertext english undertext stupid underlying english evident fallen different cultural inevitable indian thinly veiled other hate filled grievance based',-1
'polynesian stupid unfunny real funnier cardboard supposedly white weak brilliant sad polynesian willing such sad good lost great vibrant better bad mindless',-1
'bad own classic awful bad different',-1
'clear lowest possible bad few high unbelievable young entertaining much worse insipid french brilliant famous sillier joint anachronistic uninspired atrocious artistic creepy un scary horrible own grave minutes  matthew',-1
'better awful good pleased least bad same old re hatched i much good average scary mary scary scarier little miss',-1
'italian terrible chaotic dark ridicule visual first interesting few busy the complete',-1
'awful commercial worth shame i great certain inept unlikeable like open mouthed most sad',-1
'greatest independent psycho female zombie proper cinematic nation first dark pale debatable cannibalistic primitive most basic zombie poor noir real horrible interesting great beautiful vixen bad indie zombie',-1
'better different much own original p sabretooths junky crowning big little third front short mandatory evil laughable tooth few easy better',-1
'much better great urban dwelling experienced poor before and short few',-1
'worthy dangerous next bad only complex human',-1
'single jewish little lead black balanced such broad bad racist white unable fellow black able many lifestyle',-1
'movie the excellent great good main nice original different different other convenient sudden great martial sudden high ridiculous favorite away this disappointing skilled martial decent much earlier',-1
'genre first good pale uneffective other good bad casted public good na',-1
'travesty lose dry unbearable rough alien many much better usual',-1
'awful boring good poor bad awful angry good good crap summary bad bad',-1
'worst junior high entertaining fetish humorous horrible',-1
'greatest navel gazing despicable boring worth',-1
'many clich plot absurd stupid long less straight bad classic much better',-1
'weak animal only true super safe little scary',-1
'such blown up half baked puritan new age cristian peruvian dimwitted not so mysterious narrow minded tacky rainbow colored mysterious all healing hideous discarded factual poor',-1
'documentary mean venezuelan horrible knowledge the venezuelan political complex foreign pro chvez empty dead other empty political only presidential few military highest documentary good old poor bad rich 60 70 able different venezuelan less lies nazi',-1
'bad little sick real better least better',-1
'terrible terrible worst bad good bad special',-1
'legendary worst indecent wrong competent unique crippling ecological novel short young urban loathesome nubile asian american brow beating quasi philosophical better unforgettable righteous guitar toting climactic getting locked in a makeshift wire chicken coop and lightly belittled alien tolerable past worst old hateful little little poorly quite unwatchable incompetent ineffectual crash intense half terrible terrible worse favorite concerted',-1
'awful little weird internal own own straight big mystical top loose',-1
'last decent stupid horrible large sub many innocent tactical clear funny bigger brave much cop other other silly great chest',-1
'huge first great new worst great worse good hot sexy correct previous sick',-1
'hilarious easier effective few worst strong courageous',-1
'worst such bad negative possible bad much',-1
'lucky unfunny unfunny amusing unfunny trite desperate premature delicious wasted good young good only other funny least painful',-1
'autistic little same upset disabled local disabled autistic other funny serious suffering the disabled disabled',-1
'british popular wrong many laughable live live awkward british',-1
'whole funny special military particular japanese standard fair funny japanese american please bad good spoof such atrocious slow right many indifferent terrible',-1
'common good disastrous non existent bad horrible good big original',-1
'new big i whole stupid i devils i i nasty big interesting much new fake called',-1
'ok such die hard fanatic many many original incredible horrible psychological awesome whole decent interesting scary scariest scary fabulous best scary evilest',-1
'british awful hard much good static unknown first more last apparent certain classic good more spent french such annoying emotional most other devoid tedious dull',-1
'funny old stupid little stupid humorous little innocent disappointed',-1
'many bored disappointed first ok whole shaky annoying i main such american military main loving war like a drug low',-1
'god great greatest glorious original not ready for primetime second golden greats  terrible many horrible most terrible more bathroom most talentless few such few such talented few endless horrible',-1
'sorry loud serious forlorn better worse possible excellent great pre release most original final wooden',-1
'contrary received poor clunky wooden lady reserved wrong wrong wrong true bad poor other passable old unfair various dramatic mysterious dull flat good ingenious unforgettable',-1
'human probably not robin hood costume poor many only only significant original famous nursery stunning little original unique great illegal significant common original great great',-1
'generic unpredictable least happy all out good good universe worst',-1
'serial electric times detective other secret alive worst more decent true electric free urban much other horrendous',-1
'high better whole special cheesy whole few real real few  serial serial only sudden sad lest more',-1
'complete classic overrated clean spanish young own hot honorable new first demonic noticeable unoriginal boring open full overall last atmospheric stupid female absolute real enough awful other european',-1
'other disappointing nice nice unplayable simple standard same general uncontrollable i other original loyal new more serious other rubbish',-1
'worst long first first low horrible motivational inconsistent complete lame o sensational ridiculous translated terrible tough grammar inexcusable bad long first much unnecessary young few good high attractive outdoor few last personal only genuine major weird focused ten',-1
'flat single dull first other indie magical small vartan sub par christian asexual moralizing steven big',-1
'last good many ready different political interested other good average ready',-1
'forgive more original several parole many worth only same whole',-1
'great great awful whole funny stupid hilarious better',-1
'high bad awful unfunny severe enough anti funny worth worth early',-1
'only more funny bad laughter best mafia own own cowboy bad funny',-1
'bad sure no effort lifeless listless sure lifeless main more less home shot poor special good interested bad past bottom unbiased wish little closer suck fest',-1
'familiar grumpy unfathomable curious worst further all time awful funny weak modern chief past such big dire',-1
'bad funny bad boring whiny funny irritating old 3 4',-1
'imagine complete much easier bad bad main susceptible single own genuine own greatest worst right many only original different old unbearable first ugly potential unstable primitive underdeveloped deadly cinematic effective incredible obnoxious atrocious unfruitful poor true blind dreadful merciful memorable',-1
'bad cheesy own real exceptional favorite more little better military scientistsscene military science complete many military many military nonsense few instant unarmed fist instant classic keyboard synth many true',-1
'only other pre  worth here the supernatural entire norliss audio wealthy ancient egyptian local pretty blood blue faced yellow eyed last mutual late uncanny second reanimated life size human world the good ill conceived better good bad bad after underground great excited first other loyal',-1
'other made for tv many super human suspense as little many superior main many ridden perfect dull superior powerless wrong single such',-1
'forgive long bad awful mood setting commercial hot',-1
'other high dire wooden lacklustre predictable few stunning stunning great sweeping dramatic wide open memorable thoroughly uninspiring western reasonable best',-1
'great disappointed new first disappointed first poor cheap crappy japanese modern day that the worse red kung fu undead gothic funny worst monkey demented deadliest stupid evil fascinating complex interesting weak giant likable relatable stereotypical evil bad biggest tragic giant mad giant apparent actual worst mad genius new tragic three dimensional likable popular actual crappy petty petty good other popular i many more more good old',-1
'such private dull boring degrading i female horrible',-1
